ESPERANTO,ENGLISH,AFRIKÁANS,ALBANIAN,AZERBAIJANI,AZERI,BOSNIAN,CEBUANO,CZECH,CHICHEWA,CORSA,HAITIAN CREOLE,CROATIAN,DANISH,SLOVAK,SLOVENIAN,IRISH,ICELANDIC,SPANISH,ESTONIAN,BASQUE,FINNISH,FRENCH,FRIESIAN,SCOTTISH GAELIC,WELSH,GALICICIAN,HAUSA,HAWUAIAN,HMONG,HUNGARIAN,IGBO,INDONESIAN,ITALIAN,JAVANESE,KURDISH,LATIN,LATVIAN,LITHUANIAN,LUXEMBOURGISH,MALAY,MALAGASY,MALTESE,MAORI,DUTCH,NORWEGIAN,POLISH,PORTUGUESE,ROMANIAN,SAMOAN,SESOTHO,SHONA,SOMALI,SWAHILI,SWEDISH,SUNDANESE,TAGALOG,TURKISH,UZBEK,VIETNAMESE,XHOSA,YORUBA
unu,one,een,një,bir,bir,jedan,sa usa ka,jeden,chimodzi,unu,youn,jedan,en,jeden,ena,ceann,einn,uno,üks,bat,yksi,un,ien,aon,un,un,daya,ekahi,ib tug,egy,otu,satu,uno,siji,yek,unus,viens,vienas,eent,satu,iray,waħda,kotahi,een,en,jeden,1,unu,tasi,e mong,Poshi,mid ka mid ah,moja,ett,hiji,isa,bir,bir,một,Nye,ọkan
du,two,twee,dy,iki,iki,dva,duha ka,dva,awiri,due,de,dva,to,dva,dva,dhá,tveir,dos,kaks,bi,kaksi,deux,twa,dhà,dau,dúas,biyu,elua,ob,két,abụọ,dua,Due,kalih,du,duo,divi,du,zwee,dua,roa,żewġ,e rua,twee,to,dwa,dois,Două,lua,tse pedi,piri,laba,mbili,två,dua,dalawa,iki,ikki,hai,Mbini,meji
tri,three,drie,tre,üç,üç,tri,tulo,tři,atatu,tre,twa,tri,tre,tri,tri,trí,þrjú,Tres,kolm,hiru,kolme,Trois,trije,trì,tri,tres,uku,ekolu,peb,három,atọ,tiga,tre,telung,sê,tribus,trīs,trys,dräi,tiga,telo,tliet,e toru,drie,tre,trzy,três,Trei,tolu,tse tharo,tatu,saddex,tatu,tre,tilu,tatlo,üç,uch,số ba,Ntathu,meta
kvar,four,vier,katër,dörd,dörd,četiri,upat ka mga,čtyři,zinayi,quattru,kat,četiri,fire,štyri,štiri,ceithre,fjórir,cuatro,neli,lau,neljä,quatre,fjouwer,ceithir,pedwar,catro,hudu,lau,plaub,négy,anọ,empat,quattro,papat,çar,quattuor,četri,keturi,véier,empat,efatra,erba,wha,vier,fire,cztery,quatro,patru,fā,a mane,mana,afar,nne,fyra,opat,apat,dört,to'rt,bốn,ezine,mẹrin
kvin,five,vyf,pesë,beş,beş,pet,sa lima ka mga,Pět,zisanu,Cinque,senk,pet,fem,päť,pet,cúig,fimm,cinco,viis,bost,viisi,cinq,fiif,còig,pump,cinco,biyar,elima,tsib,öt,ise,lima,cinque,limang,pênc,quinque,pieci,penki,fënnef,lima,dimy,ħamsa,e rima,vijf,fem,pięć,cinco,cinci,lima,tse hlano,shanu,shan,tano,fem,lima,lima,beş,besh,số năm,Ntlanu,marun
ses,six,ses,gjashtë,altı,altı,šest,unom ka,šest,zisanu ndi chimodzi,Sei,sis,šest,seks,šesť,šest,sé,sex,seis,kuus,sei,kuusi,six,seis,sia,chwech,seis,shida,eono,rau,hat,isii,enam,sei,enem,şeş,sex,seši,šeši,sechs,enam,enin-,sitta,e ono,zes,seks,sześć,seis,şase,ono,tse tsheletseng,nhanhatu,lix,sita,sex,genep,anim,altı,olti,sáu,Ntandathu,mefa
sep,Sep,September,shtator,Sep,Sep,septembar,Sep,září,Sep,Sep,Sep,rujna,september,septembra,september,Meán Fómhair,september,sep,september,Ira,syyskuu,SEP,Sep,Sep,Medi,setembro,Sep,Sep,Sep,szeptember,Sep,September,settembre,Sep,Sep,Sep,septembris,rugsėjis,sept,september,Sep,settembru,Sep,september,september,września,setembro,septembrie,Setema,Sep,Sep,Sep,Septemba,september,Sep,Septiyembre,Eylül,Sep,Tháng Chín,Sep,Sep
ok,eight,agt,tetë,səkkiz,səkkiz,osam,walo ka,osm,eyiti,ottu,uit,osam,otte,osem,osem,ocht,átta,ocho,kaheksa,zortzi,kahdeksan,huit,acht,ochd,wyth,oito,takwas,ewalu,yim,nyolc,asatọ,delapan,otto,wolung,heşt,octo,astoņi,aštuoni,aacht,lapan,valo,tmienja,e waru,acht,åtte,osiem,oito,opt,valu,robeli,sere,sideed,nane,åtta,dalapan,walo,sekiz,sakkiz,tám,Sibhozo,mẹjọ
naŭ ,nine,nege,nëntë,doqquz,doqquz,devet,siyam ka mga,devět,zisanu ndi zinayi,nove,nèf,devet,ni,deväť,devet,naoi,níu,nueve,üheksa,bederatzi,yhdeksän,neuf,njoggen,naoi,naw,nove,tara,eiwa,cuaj,kilenc,itoolu,sembilan,nove,sangang,neh,novem,deviņi,devyni,néng,sembilan,sivy,disa,e iwa,negen,ni,dziewięć,nove,nouă,iva,robong,pfumbamwe,sagaal,tisa,nio,salapan,siyam,dokuz,to'qqiz,chín,Thoba,mẹsan
dek,ten,tien,dhjetë,on,on,deset,ang napulo ka mga,deset,khumi,deci,dis,deset,ti,desať,deset,deich,tíu,diez,kümme,hamar,kymmenen,Dix,tsien,deich,deg,dez,goma,umi,kaum,tíz,iri,sepuluh,dieci,sepuluh,deh,decem,desmit,dešimt,zéng,sepuluh,folo,għaxar,tekau,tien,ti,dziesięć,dez,zece,sefulu,tse leshome,gumi,toban,kumi,tio,sapuluh,sampu,on,o'n,mười,Shumi,mẹwàá
nulo,zero,nul,zero,sıfır,sıfır,nula,zero,nula,ziro,zeru,zewo,nula,nul,nula,nič,nialas,núll,cero,null,zero,nolla,zéro,nul,neoni,sero,cero,sifili,ole,zero,nulla,efu,nol,zero,nul,sifir,nulla,nulle,nulis,Null,sifar,aotra,żero,kore,nul,null,zero,zero,zero,o,lefela,zero,eber,sufuri,noll,nol,sero,sıfır,nol,số không,unothi,odo
cent,One hundred,Een honderd,Njeqind,Yüz,Yüz,Stotinu,Usa ka gatus ka,sto,zana,Centu,Yon santèn,Jedna stotina,Et hundrede,sto,sto,Céad,Eitt hundrað,Cien,sada,Ehun,Sata,Cent,Hûndert,Ceud,Cant,Un cento,da ɗaya da ɗari,Hoʻokahi haneli,Ib puas,Száz,otu narị,Seratus,Cento,satus,Sed,Centum,Simts,Šimtas,Honnert,Seratus,zato,Mija,kotahi rau,Honderd,Ett hundre,sto,Cem,O sută,Tasi selau,lekholo,Zana,Boqol,mia moja,Ett hundra,Saratus,Isang daan,Yüz,Yuz,Một trăm,Ikhulu,Ogorun
mil,thousand,duisend,mijë,min,min,hiljada,ka libo ka mga,tisíc,zikwi,milla,mil,tisuću,tusind,tisíc,tisoč,míle,þúsund,mil,tuhat,mila,tuhat,mille,tûzen,mìle,mil,mil,dubu,tausani,txhiab,ezer,puku,ribu,mille,ewu,hezar,milia,tūkstotis,tūkstantis,dausend,ribu,arivo,elf,mano,duizend,tusen,tysiąc,mil,mie,afe,sekete,churu,kun,elfu,tusen,rebu,libo,bin,ming,một ngàn,amawaka,ẹgbẹrun
miliono,million,miljoen,milion,milyon,milyon,milion,milyon,milión,miliyoni,miliuna,milyon dola,milijuna,million,milión,milijonov,milliún,milljónir,millón,miljon,milioi,miljoona,million,miljoen,millean,miliwn,millón,miliyan,miliona,lab,millió,nde,juta,milione,yuta,mêlûn,decies centena,miljons,milijonas,Milliounen,juta,tapitrisa,miljun,miriona,miljoen,million,milion,milhão,milion,miliona,milione,miriyoni,million,milioni,miljon,juta,milyon,milyon,million,triệu,million,million
biliono,billion,miljard,miliardë,milyard,milyard,milijardi,bilyon,miliarda,biliyoni,miliardi,milya dola,milijardi,milliard,miliardy,milijard,billiún,milljarða,mil millones,miljard,milioi,miljardi,milliard,miljard,billean,biliwn,millóns,biliyan,ieeeea?,billion,"milliárd, ezermillió",ijeri,milyar,miliardo,milyar,milyar,billion,miljards,milijardų,Milliarde,bilion,lavitrisa,biljun,piriona,miljard,milliarder,miliard,bilhão,miliard,piliona,bilione,bhiriyoni,billion,bilioni,miljard,milyar,bilyon,milyar,milliard,tỷ,billion,bilionu
